UID	11RosaH	12RosaH	14RosaF	16RosaF	17Rosa-	18Rosa-	8RosaH	9RosaH	CAG-14914	CAG-14915	CMP	GMP	Gfi1.Null	Irf8.Null	LSK
Imp4	7.068885737	6.916834885	6.575614878	6.845490051	6.176522247	6.486231678	7.049957428	6.98982022	6.597382189	6.546585829	6.210817432	6.099295204	6.273142859	5.625270489	6.048105374
Impa1	6.159064009	6.266224342	6.292781749	6.13627343	5.601399391	5.123086751	6.105175192	6.222650022	5.544114402	5.300855871	6.420212891	6.403438163	6.164303583	5.992768431	6.092968509
Impa2	6.169524197	6.185271906	6.377991327	6.362995812	6.041549645	5.914564523	5.977050906	6.224580566	5.252097703	5.888986721	7.053763009	6.936048964	6.709704193	6.683275373	6.824513297
Impact	4.51412226	4.397118409	3.822730148	4.19298317	3.967168608	4.69543711	4.088311236	4.371558863	4.298658316	4.97819563	3.99004722	3.992768431	3.845991771	3.247927513	4.865423978
Impad1	5.323730338	5.222650022	5.007644031	5.116863758	4.768713657	4.692092375	5.155830172	5.277240898	5.192588722	4.720278465	5.225352061	5.324090516	4.56315813	3.84899843	5.529196268
Impdh1	6.00495076	5.874796966	4.531069493	5.835671479	3.943921327	5.998421189	4.804260116	4.675251386	4.735522177	5.793375711	7.703073006	7.663059924	7.145066014	7.316779317	7.003602237
Impdh2	7.525912261	7.475976561	7.257764969	7.523091435	6.880930361	7.248781488	7.551592918	7.476381688	6.973726062	7.322649262	8.956985925	8.891935558	8.966764984	8.551746707	9.092360742
Impg1	0	0	0	0	0	0	0	0	0	0	0.056583528	0.028569152	0.028569152	0	0
Impg2	0.111031312	0.084064265	0.084064265	0.124328135	0.344828497	0.275007047	0.250961574	0.097610797	0.042644337	0.545968369	0.214124805	0.097610797	0.042644337	0.070389328	0.286881148
Ina	0.214124805	0	0	0	0	0.545968369	0.111031312	0.111031312	0	0	0	0	0	0	0
Inadl	0.722466024	0.704871964	0.176322773	0.678071905	0.111031312	0.722466024	0.214124805	0.163498732	0.163498732	0.526068812	0.475084883	0.464668267	0.124328135	0.286881148	3.537296067
Inca1	0	0	0	0	1.007195501	0	0.189033824	0	0	1.316145742	0	0	0.163498732	0.070389328	0.669026766
Incenp	6.220716892	6.430954271	6.661208032	6.443606651	6.818390444	6.515542158	6.528102429	6.528571319	6.54951516	6.685519722	6.877376169	6.937462101	6.73470962	6.513174885	6.66732447
Inf2	4.06608919	4.250203656	4.675815931	4.634012356	5.126394738	4.672425342	4.244887059	4.492494152	4.862947248	4.701549057	4.185073638	4.199279721	3.850999395	4.419538892	5.311793718
Ing1	5.049630768	4.964398632	5.051807107	4.895302621	4.798050515	4.5987225	4.885574364	4.807354922	4.606442228	4.867402306	5.554588852	5.572586549	5.170726276	5.21490191	6.237448996
Ing2	3.724650272	3.66448284	4.004501392	3.838951767	3.524815928	4.122672719	3.279471296	4.008092421	3.683696454	4.502712486	3.953265239	3.725741157	3.841973119	3.983677695	4.200849575
Ing3	4.136683578	4.178714641	4.09085343	4.241840184	4.297925053	3.955126781	4.075532631	4.065227623	4.457462965	4.448900951	4.448900951	4.527320608	4.382667253	3.921245889	4.785027362
Ing4	4.99095486	4.842978832	4.803743669	5.015693807	5.081083929	5.191009849	4.589164237	4.349082146	4.20867332	4.77925972	5.568032105	5.435628594	5.044394119	5.647026633	6.578032972
